Ticker,Company Name,Sector,Industry Group,Industry,Sub Industry,Prospect Status,Product
ACLS,Axcelis Technologies Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Marketing Qualified Lead (MQL),Accounting Software
CVV,Cvd Equipment Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Marketing Qualified Lead (MQL),Planning Software
ENTG,Entegris Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Sales Qualified Lead (SQL),Planning Software
KLIC,Kulicke & Soffa Industries,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Unqualified Lead,CRM
LRCX,Lam Research Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Sales Qualified Lead (SQL),Planning Software
TRT,Trio-Tech International,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Sales Accepted Lead (SAL),Planning Software
VECO,Veeco Instruments Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Unqualified Lead,Cloud Data Storage
HPQ,Hp Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Marketing Qualified Lead (MQL),Cloud Data Storage
SMCI,Super Micro Computer Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Marketing Qualified Lead (MQL),CRM
DELL,Dell Technologies Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Opportunity,Planning Software
HPE,Hewlett Packard Enterprise,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Sales Accepted Lead (SAL),Planning Software
OSS,One Stop Systems Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Sales Accepted Lead (SAL),Accounting Software
NTAP,Netapp Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Unqualified Lead,Planning Software
PSTG,Pure Storage Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Unqualified Lead,Accounting Software
QMCO,Quantum Corp,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Sales Accepted Lead (SAL),Accounting Software
WDC,Western Digital Corp,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Sales Accepted Lead (SAL),CRM
ATEN,A10 Networks Inc,Information Technology,Software & Services,Software,Systems Software,Opportunity,Cloud Data Storage
DTSS,Datasea Inc,Information Technology,Software & Services,Software,Systems Software,Sales Accepted Lead (SAL),Accounting Software
ANET,Arista Networks Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Accepted Lead (SAL),Accounting Software
CASA,Casa Systems Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Unqualified Lead,Chatbot
CSCO,Cisco Systems Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Opportunity,Accounting Software
DGII,Digi International Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Opportunity,Chatbot
EXTR,Extreme Networks Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Marketing Qualified Lead (MQL),CRM
INFN,Infinera Corp,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Accepted Lead (SAL),Chatbot
JNPR,Juniper Networks Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Unqualified Lead,Accounting Software
LTRX,Lantronix Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Accepted Lead (SAL),Cloud Data Storage
LITE,Lumentum Holdings Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Opportunity,CRM
NTGR,Netgear Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Qualified Lead (SQL),Cloud Data Storage
VIAV,Viavi Solutions Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Opportunity,Accounting Software
FTNT,Fortinet Inc,Information Technology,Software & Services,Software,Systems Software,Opportunity,Planning Software
MITK,Mitek Systems Inc,Information Technology,Software & Services,Software,Application Software,Sales Accepted Lead (SAL),Accounting Software
ALOT,Astronova Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Opportunity,Accounting Software
KODK,Eastman Kodak Co,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Marketing Qualified Lead (MQL),Planning Software
TACT,Transact Technologies Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Sales Accepted Lead (SAL),Chatbot
XRX,Xerox Holdings Corp,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Sales Accepted Lead (SAL),Accounting Software
ZBRA,Zebra Technologies Cp  -Cl A,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Unqualified Lead,Cloud Data Storage
DBD,Diebold Nixdorf Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Opportunity,Chatbot
PAR,Par Technology Corp,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Marketing Qualified Lead (MQL),CRM
IDN,Intellicheck Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Unqualified Lead,Accounting Software
CODI,Compass Diversified Holdings,Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings,Marketing Qualified Lead (MQL),CRM
LFUS,Littelfuse Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,Sales Accepted Lead (SAL),CRM
GNSS,Genasys Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Qualified Lead (SQL),CRM
DGLY,Digital Ally Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Unqualified Lead,Chatbot
ROKU,Roku Inc,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,Opportunity,Cloud Data Storage
ADTN,Adtran Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Marketing Qualified Lead (MQL),Chatbot
CALX,Calix Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Accepted Lead (SAL),Cloud Data Storage
CIEN,Ciena Corp,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Unqualified Lead,Accounting Software
INSG,Inseego Corp,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Unqualified Lead,Planning Software
AVNW,Aviat Networks Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Opportunity,Chatbot
BKTI,Bk Technologies Corp,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Qualified Lead (SQL),Planning Software
CAMP,Calamp Corp,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Opportunity,Planning Software
CLRO,Clearone Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Marketing Qualified Lead (MQL),Cloud Data Storage
COMM,Commscope Holding Co Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Unqualified Lead,Cloud Data Storage
CMTL,Comtech Telecommun,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Accepted Lead (SAL),Cloud Data Storage
SATS,Echostar Corp,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Opportunity,Chatbot
EMKR,Emcore Corp,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Opportunity,Cloud Data Storage
HLIT,Harmonic Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Marketing Qualified Lead (MQL),Planning Software
MSI,Motorola Solutions Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Accepted Lead (SAL),Cloud Data Storage
PCTI,Pctel Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Opportunity,CRM
UI,Ubiquiti Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Qualified Lead (SQL),Chatbot
VSAT,Viasat Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Qualified Lead (SQL),Accounting Software
AAPL,Apple Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Sales Accepted Lead (SAL),Accounting Software
SCKT,Socket Mobile Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Unqualified Lead,Planning Software
SONM,Sonim Technologies Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Sales Accepted Lead (SAL),CRM
AIRG,Airgain Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,Sales Accepted Lead (SAL),CRM
WTT,Wireless Telecom Group Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Marketing Qualified Lead (MQL),Accounting Software
OSPN,Onespan Inc,Information Technology,Software & Services,Software,Systems Software,Unqualified Lead,Chatbot
APDN,Applied Dna Sciences Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Sales Accepted Lead (SAL),Planning Software
ARLO,Arlo Technologies Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Sales Accepted Lead (SAL),CRM
NSSC,Napco Security Tech Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Unqualified Lead,Planning Software
UUU,Universal Security Instrumnt,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Opportunity,Chatbot
BDC,Belden Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,Unqualified Lead,Planning Software
CTS,Cts Corp,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Sales Accepted Lead (SAL),Chatbot
KTCC,Key Tronic Corp,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Unqualified Lead,Planning Software
KN,Knowles Corp,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,Marketing Qualified Lead (MQL),CRM
VSH,Vishay Intertechnology Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,Sales Accepted Lead (SAL),Chatbot
BHE,Benchmark Electronics Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Sales Qualified Lead (SQL),CRM
JBL,Jabil Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Opportunity,Planning Software
PLXS,Plexus Corp,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Marketing Qualified Lead (MQL),CRM
ROG,Rogers Corp,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,Sales Accepted Lead (SAL),Planning Software
SANM,Sanmina Corp,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Unqualified Lead,Chatbot
SGMA,Sigmatron International Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Sales Accepted Lead (SAL),Accounting Software
TTMI,Ttm Technologies Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Sales Accepted Lead (SAL),Planning Software
XPER,Xperi Holding Corp,Information Technology,Software & Services,Software,Systems Software,Sales Qualified Lead (SQL),CRM
AAOI,Applied Optoelectronics Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Sales Accepted Lead (SAL),Chatbot
IPGP,Ipg Photonics Corp,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Opportunity,Chatbot
KE,Kimball Electronics Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Marketing Qualified Lead (MQL),Chatbot
LASR,Nlight Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Sales Accepted Lead (SAL),Cloud Data Storage
VPG,Vishay Precision Group Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Sales Qualified Lead (SQL),Accounting Software
AMD,Advanced Micro Devices,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Unqualified Lead,Planning Software
AMKR,Amkor Technology Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Sales Accepted Lead (SAL),Planning Software
ADI,Analog Devices,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Unqualified Lead,Planning Software
ATOM,Atomera Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Unqualified Lead,Chatbot
AXTI,Axt Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Unqualified Lead,Accounting Software
AVGO,Broadcom Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Unqualified Lead,Chatbot
CRUS,Cirrus Logic Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Marketing Qualified Lead (MQL),CRM
DIOD,Diodes Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Sales Qualified Lead (SQL),Chatbot
ENPH,Enphase Energy Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Unqualified Lead,Planning Software
MRAM,Everspin Technologies Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Unqualified Lead,Planning Software
GSIT,Gsi Technology Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Sales Accepted Lead (SAL),Accounting Software
PI,Impinj Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Marketing Qualified Lead (MQL),Accounting Software
INTC,Intel Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Marketing Qualified Lead (MQL),Chatbot
KOPN,Kopin Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Opportunity,Planning Software
LSCC,Lattice Semiconductor Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Marketing Qualified Lead (MQL),CRM
MTSI,M/Acom Technology Solutions,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Marketing Qualified Lead (MQL),Cloud Data Storage
MX,Magnachip Semiconductor Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Marketing Qualified Lead (MQL),Accounting Software
MXL,Maxlinear Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Unqualified Lead,CRM
MCHP,Microchip Technology Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Opportunity,Accounting Software
MU,Micron Technology Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Marketing Qualified Lead (MQL),Cloud Data Storage
MPWR,Monolithic Power Systems Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Marketing Qualified Lead (MQL),CRM
NVEC,Nve Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Opportunity,Planning Software
NVDA,Nvidia Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Sales Qualified Lead (SQL),Cloud Data Storage
ON,On Semiconductor Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Sales Accepted Lead (SAL),Accounting Software
PLAB,Photronics Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Sales Accepted Lead (SAL),Chatbot
PXLW,Pixelworks Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Sales Accepted Lead (SAL),Cloud Data Storage
POWI,Power Integrations Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Opportunity,CRM
QRVO,Qorvo Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Unqualified Lead,Accounting Software
QCOM,Qualcomm Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Unqualified Lead,Planning Software
QUIK,Quicklogic Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Unqualified Lead,Planning Software
RBCN,Rubicon Technology Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Unqualified Lead,Chatbot
LEDS,Semileds Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Unqualified Lead,Chatbot
SMTC,Semtech Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Opportunity,CRM
SLAB,Silicon Laboratories Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Opportunity,CRM
SITM,Sitime Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Unqualified Lead,CRM
SWKS,Skyworks Solutions Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Opportunity,CRM
SEDG,Solaredge Technologies Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Sales Qualified Lead (SQL),Planning Software
SYNA,Synaptics Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Marketing Qualified Lead (MQL),Cloud Data Storage
UCTT,Ultra Clean Holdings Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Sales Qualified Lead (SQL),CRM
OLED,Universal Display Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Unqualified Lead,Cloud Data Storage
BELFB,Bel Fuse Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,Unqualified Lead,Cloud Data Storage
APH,Amphenol Corp,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,Sales Qualified Lead (SQL),Chatbot
MEI,Methode Electronics Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Sales Accepted Lead (SAL),CRM
RFIL,R F Industries Ltd,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Opportunity,CRM
DMRC,Digimarc Corp,Information Technology,Software & Services,Software,Application Software,Unqualified Lead,Chatbot
CLFD,Clearfield Inc,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,Unqualified Lead,CRM
AKTS,Akoustis Technologies Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,Opportunity,Accounting Software
GLW,Corning Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,Sales Accepted Lead (SAL),Accounting Software
LGL,Lgl Group Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components,Unqualified Lead,Planning Software
MVIS,Microvision Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Sales Accepted Lead (SAL),Chatbot
AEIS,Advanced Energy Inds Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Opportunity,CRM
EMAN,Emagin Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Marketing Qualified Lead (MQL),Accounting Software
CODA,Coda Octopus Group Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Marketing Qualified Lead (MQL),Chatbot
PWFL,Powerfleet Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Opportunity,Accounting Software
CGNX,Cognex Corp,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Sales Qualified Lead (SQL),Cloud Data Storage
ELSE,Electro-Sensors Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Unqualified Lead,CRM
SMIT,Schmitt Industries Inc/Or,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Sales Qualified Lead (SQL),Planning Software
MKSI,Mks Instruments Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Sales Qualified Lead (SQL),Chatbot
ONTO,Onto Innovation Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Opportunity,Chatbot
BMI,Badger Meter Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Unqualified Lead,Cloud Data Storage
ITRI,Itron Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Opportunity,Cloud Data Storage
DAIO,Data I/O Corp,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,Sales Qualified Lead (SQL),Cloud Data Storage
FEIM,Frequency Electronics Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Unqualified Lead,Cloud Data Storage
KEYS,Keysight Technologies Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Sales Accepted Lead (SAL),Accounting Software
AEHR,Aehr Test Systems,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Unqualified Lead,Accounting Software
COHU,Cohu Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Opportunity,Cloud Data Storage
FORM,Formfactor Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Sales Qualified Lead (SQL),CRM
INTT,Intest Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Unqualified Lead,Cloud Data Storage
TER,Teradyne Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment ,Sales Qualified Lead (SQL),Chatbot
LPTH,Lightpath Technologies Inc,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments ,Marketing Qualified Lead (MQL),Accounting Software
